429	5.4
923	6.0
6194	6.1
9993	3.0
9996	8.1
559	6.1
2550	6.5
10201	5.8
2	5.8
420	4.7
444	6.1
7384	7.3
10104	5.7
11	7.1
12	5.8
5237	7.7
79	5.9
372	7.6
1885	6.0
7364	6.5
178	7.4
10146	6.2
13184	5.8
33	5.9
56	6.2
955	4.2
25	5.3
7505	4.3
11307	2.7
78091	3.0
97	6.4
58	7.2
16017	7.2
29223	6.3
30666	6.4
46344	5.3
88564	8.2
88565	8.2
1557	5.3
3527	6.8
83036	1.8
441	6.0
4267	6.4
47565	7.8
19231	8.3
5070	6.9
13134	7.6
95038	8.4
3758	3.4
688	6.0
174	3.4
8411	6.4
17387	6.9
3812	4.3
20356	5.0
18229	7.1
4	6.4
10211	7.5
536	8.1
2376	4.9
7391	4.2
9349	6.4
94694	7.1
43	6.5
81023	7.5
101082	7.0
306	6.4
6304	7.1
6305	7.8
70	6.6
436	6.3
437	5.4
12235	7.8
168	6.9
13282	4.8
69114	4.8
347	6.3
694	6.0
10320	6.3
1	6.2
1634	6.3
11461	5.1
7	3.9
84041	2.8
491	6.3
508	6.0
1038	5.7
3638	5.4
19548	5.2
25706	6.6
37578	7.3
350	0.0
7431	4.5
53462	3.4
73669	1.4
7076	4.8
8083	6.0
99426	0.0
5	6.2
7295	6.3
258	5.9
284	6.6
82819	3.6
7503	5.7
10246	5.9
6125	6.7
3	7.0
882	6.3
5072	6.2
80745	5.8
2527	5.3
10161	6.5
33681	5.0
53247	7.5
32	5.9
3538	5.8
56980	6.2
500	6.9
501	8.1
502	7.4
503	7.0
504	8.1
51164	3.4
10163	6.4
10338	6.3
